第455回,2022/1/28,01,05,08,15,18,26,36,33,34,1,"3億5,880万円",0円
第454回,2022/1/21,08,17,21,26,27,29,31,01,33,2,"1億8,461万円",0円
第453回,2022/1/14,02,08,10,21,24,26,35,09,13,1,"3億9,225万円",0円
第452回,2022/1/7,05,17,20,21,31,34,35,08,27,3,"1億3,964万円",0円
第451回,2021/12/24,02,15,22,25,28,33,37,10,17,1,"8億3,522万円",0円
第450回,2021/12/17,02,07,12,15,21,23,30,09,31,0,該当なし,4億円
第449回,2021/12/10,02,21,26,27,32,33,34,08,09,1,"5億9,159万円",0円
第448回,2021/12/3,07,21,24,29,32,36,37,22,27,1,10億円！,2億円
第447回,2021/11/26,03,05,08,13,26,30,37,25,28,0,該当なし,7億円
第446回,2021/11/19,01,07,09,12,15,29,32,11,28,1,10億円！,3億円
第445回,2021/11/12,04,22,25,27,28,30,33,02,03,1,10億円！,8億円
第444回,2021/11/5,11,15,16,17,18,27,29,25,33,0,該当なし,12億円
第443回,2021/10/29,01,05,08,26,28,32,36,23,24,1,10億円！,8億円
第442回,2021/10/22,06,13,14,16,19,30,32,25,36,0,該当なし,12億円
第441回,2021/10/15,15,21,22,23,27,28,37,08,25,0,該当なし,8億円
第440回,2021/10/8,05,10,17,18,19,22,32,14,35,0,該当なし,4億円
第439回,2021/10/1,01,03,06,09,26,29,31,14,18,4,"8,858万円",0円
第438回,2021/9/24,04,13,16,21,32,34,37,27,33,2,"1億7,894万円",0円
第437回,2021/9/17,08,10,14,15,23,25,26,01,11,2,"1億7,919万円",0円
第436回,2021/9/10,05,06,21,22,26,31,32,18,36,1,"3億6,930万円",0円
第435回,2021/9/3,03,05,07,11,15,17,25,13,32,1,"3億8,144万円",0円
第434回,2021/8/27,10,11,12,17,29,34,37,26,30,1,"3億8,054万円",0円
第433回,2021/8/20,14,17,20,25,32,33,36,10,34,3,"9億2,477万円",0円
第432回,2021/8/13,05,10,13,24,29,30,35,21,31,0,該当なし,22億円
第431回,2021/8/6,07,11,12,17,19,20,26,02,03,0,該当なし,17億円
第430回,2021/7/30,02,12,17,24,28,30,32,03,27,0,該当なし,12億円
第429回,2021/7/23,06,11,14,27,30,32,35,18,24,0,該当なし,8億円
第428回,2021/7/16,03,06,16,22,31,34,35,24,32,0,該当なし,4億円
第427回,2021/7/9,11,13,26,27,31,33,37,09,18,2,"3億8,343万円",0円
第426回,2021/7/2,01,02,06,08,30,31,33,13,35,1,10億円！,3億円
第425回,2021/6/25,02,09,14,20,22,34,35,07,24,0,該当なし,8億円
第424回,2021/6/18,05,06,12,19,25,30,35,26,33,0,該当なし,4億円
第423回,2021/6/11,01,07,09,11,29,31,32,02,06,2,"8億4,987万円",0円
第422回,2021/6/4,01,09,21,23,30,35,36,05,06,0,該当なし,12億円
第421回,2021/5/28,09,15,18,26,28,32,37,21,36,0,該当なし,8億円
第420回,2021/5/21,04,05,11,13,24,32,34,02,03,0,該当なし,4億円
第419回,2021/5/14,03,11,14,21,26,29,34,22,33,2,"1億9,030万円",0円
第418回,2021/5/7,10,13,17,18,22,28,37,01,20,1,"3億8,906万円",0円
第417回,2021/4/30,04,05,13,18,23,27,32,09,11,2,2億968万円,0円
第416回,2021/4/23,08,09,10,15,16,30,31,29,36,1,"4億2,982万円",0円
第415回,2021/4/16,04,08,12,13,23,32,37,16,35,6,"9億1,645万円",0円
第414回,2021/4/9,03,08,16,21,25,36,37,14,20,1,10億円！,49億円
第413回,2021/4/2,03,10,16,18,19,34,35,27,36,1,10億円！,52億円
第412回,2021/3/26,14,20,22,29,31,33,34,15,24,0,該当なし,55億円
第411回,2021/3/19,04,11,12,21,23,27,36,09,14,1,10億円！,49億円
第410回,2021/3/12,01,02,18,21,26,29,37,09,36,0,該当なし,52億円
第409回,2021/3/5,13,15,16,24,30,31,37,12,33,2,10億円！,45億円
第408回,2021/2/26,16,18,19,21,29,30,35,14,28,0,該当なし,58億円
第407回,2021/2/19,19,21,25,26,28,30,31,09,16,0,該当なし,51億円
第406回,2021/2/12,01,02,05,16,18,21,29,24,25,0,該当なし,45億円
第405回,2021/2/5,03,10,16,17,24,32,36,11,29,1,10億円！,38億円
第404回,2021/1/29,04,08,13,16,25,30,32,09,26,1,10億円！,42億円
第403回,2021/1/22,02,06,08,12,19,20,29,05,26,0,該当なし,44億円
第402回,2021/1/15,07,09,12,17,20,26,29,04,13,0,該当なし,37億円
第401回,2021/1/8,04,05,09,14,18,30,35,25,34,0,該当なし,31億円
第400回,2020/12/25,04,17,22,28,30,31,35,25,34,0,該当なし,24億円
第399回,2020/12/18,07,15,19,20,21,33,36,04,10,0,該当なし,18億円
,,,,,,,,,,,,,
第398回,2020/12/11,03,04,10,17,20,22,33,01,06,0,該当なし,13億円
第397回,2020/12/4,04,12,13,15,21,28,37,07,20,0,該当なし,8億円
第396回,2020/11/27,02,03,05,08,16,20,34,26,31,0,該当なし,4億円
第395回,2020/11/20,01,02,05,20,26,29,32,08,09,2,"2億7,062万円",0円
第394回,2020/11/13,06,10,22,23,27,32,33,08,19,0,該当なし,4億円
第393回,2020/11/6,07,14,15,22,27,30,31,09,32,1,"3億8,884万円",0円
第392回,2020/10/30,01,04,06,15,20,22,26,18,21,2,"6億7,574万円",0円
第391回,2020/10/23,10,23,27,32,33,35,37,24,26,0,該当なし,8億円
第390回,2020/10/16,03,06,19,21,23,26,27,30,34,0,該当なし,4億円
第389回,2020/10/9,01,06,11,13,18,24,27,17,23,3,"7億8,390万円",0円
第388回,2020/10/2,01,06,08,10,18,21,32,13,28,0,該当なし,18億円
第387回,2020/9/25,03,07,13,22,30,32,37,14,15,0,該当なし,13億円
第386回,2020/9/18,09,19,22,32,35,36,37,07,21,0,該当なし,8億円
第385回,2020/9/11,04,12,14,24,29,34,35,05,15,1,10億円！,4億円
第384回,2020/9/4,03,07,15,18,26,30,31,09,33,0,該当なし,8億円
第383回,2020/8/28,08,11,15,22,26,28,30,10,20,0,該当なし,4億円
第382回,2020/8/21,02,03,05,08,19,22,37,16,28,1,"3億6,919万円",0円
第381回,2020/8/14,04,08,25,26,27,31,32,09,22,1,"3億8,106万円",0円
第380回,2020/8/7,08,14,24,25,32,34,36,13,16,2,"9億2,347万円",0円
第379回,2020/7/31,03,08,15,22,24,29,35,18,26,0,該当なし,13億円
第378回,2020/7/24,01,05,09,10,14,15,29,20,28,0,該当なし,8億円
第377回,2020/7/17,06,07,10,17,25,33,36,27,32,0,該当なし,4億円
第376回,2020/7/10,06,11,14,17,23,31,37,10,15,3,"4億1,235万円",0円
第375回,2020/7/3,13,15,18,19,23,27,32,34,35,1,10億円！,7億円
第374回,2020/6/26,04,05,09,10,18,27,35,15,34,1,10億円！,12億円
第373回,2020/6/19,02,03,17,18,22,23,31,04,30,0,該当なし,16億円
第372回,2020/6/12,06,08,22,23,32,33,36,09,27,1,10億円！,11億円
第371回,2020/6/5,01,03,04,08,11,21,25,12,23,2,10億円！,15億円
第370回,2020/5/29,07,10,16,25,26,33,34,24,35,0,該当なし,29億円
第369回,2020/5/22,01,07,09,11,15,31,34,06,33,0,該当なし,22億円
第368回,2020/5/15,07,08,09,13,21,34,35,03,20,0,該当なし,18億円
第367回,2020/5/8,08,14,19,20,29,30,31,07,35,0,該当なし,13億円
第366回,2020/5/1,10,24,25,26,27,33,36,04,23,0,該当なし,10億円
第365回,2020/4/24,01,04,13,14,16,22,35,10,23,0,該当なし,7億円
第364回,2020/4/17,03,09,10,14,16,20,27,19,33,0,該当なし,3億円
第363回,2020/4/10,13,15,17,22,26,34,36,03,19,1,"3億5,073万円",0円
第362回,2020/4/3,04,07,08,14,22,24,27,13,26,1,"6億1,613万円",0円
第361回,2020/3/27,05,09,16,20,29,33,35,02,08,1,10億円！,2億円
第360回,2020/3/20,09,11,13,14,20,22,37,15,17,0,該当なし,7億円
第359回,2020/3/13,04,07,11,17,19,26,35,01,24,1,10億円！,3億円
第358回,2020/3/6,05,13,14,26,32,33,34,08,11,0,該当なし,8億円
第357回,2020/2/28,05,08,12,13,14,24,30,27,35,0,該当なし,4億円
第356回,2020/2/21,04,16,20,30,33,34,36,19,21,1,"3億5,957万円",0円
第355回,2020/2/14,04,06,09,10,23,27,33,14,31,1,"7億9,870万円",0円
第354回,2020/2/7,01,02,08,10,13,25,31,23,35,0,該当なし,4億円
第353回,2020/1/31,11,15,22,23,24,29,33,19,34,1,"3億8,696万円",0円
第352回,2020/1/24,03,04,14,18,26,30,32,28,34,2,"8億8,694万円",0円
第351回,2020/1/17,08,13,17,19,23,25,28,05,16,1,10億円！,12億円
第350回,2020/1/10,10,19,21,23,24,30,37,02,28,0,該当なし,17億円
第349回,2019/12/27,04,10,11,15,18,22,34,16,32,2,10億円！,11億円
第348回,2019/12/20,02,05,17,18,19,20,33,01,24,0,該当なし,25億円
第347回,2019/12/13,03,06,11,13,18,20,34,25,35,0,該当なし,19億円
第346回,2019/12/6,11,16,18,23,30,31,35,03,27,1,10億円！,14億円
第345回,2019/11/29,06,09,10,18,28,31,32,24,35,1,10億円！,19億円
第344回,2019/11/22,11,19,28,29,31,32,37,12,21,0,該当なし,23億円
第343回,2019/11/15,17,19,22,29,30,31,32,11,16,0,該当なし,18億円
第342回,2019/11/8,03,06,24,28,32,35,36,04,08,0,該当なし,13億円
第341回,2019/11/1,04,11,17,27,29,31,36,19,24,1,10億円！,8億円
第340回,2019/10/25,06,14,17,26,27,30,36,12,28,1,10億円！,13億円
第339回,2019/10/18,11,15,18,20,23,25,32,09,37,1,10億円！,17億円
第338回,2019/10/11,07,09,16,17,23,27,34,15,36,1,10億円！,22億円
第337回,2019/10/4,05,07,10,12,14,24,35,11,33,1,10億円！,26億円
第336回,2019/9/27,09,10,13,21,25,31,33,24,37,0,該当なし,29億円
第335回,2019/9/20,09,10,17,18,22,25,35,13,14,0,該当なし,23億円
第334回,2019/9/13,03,07,15,16,30,34,35,08,29,0,該当なし,17億円
第333回,2019/9/6,01,04,10,11,16,24,34,30,32,0,該当なし,12億円
第332回,2019/8/30,05,07,10,15,24,27,30,03,33,0,該当なし,7億円
第331回,2019/8/23,05,07,11,12,15,18,20,19,30,0,該当なし,3億円
第330回,2019/8/16,03,04,10,12,17,18,20,19,32,1,"6億7,489万円",0円
第329回,2019/8/9,03,10,19,20,26,28,30,15,25,0,該当なし,3億円
第328回,2019/8/2,03,09,10,14,19,24,30,18,21,1,"3億1,947万円",0円
第327回,2019/7/26,01,03,13,14,16,30,31,02,17,1,"3億2,593万円",0円
第326回,2019/7/19,01,02,17,18,24,27,29,12,32,2,"5億8,430万円",0円
第325回,2019/7/12,04,14,17,18,21,31,33,06,20,0,該当なし,7億円
第324回,2019/7/5,09,13,16,17,18,19,20,30,36,0,該当なし,3億円
第323回,2019/6/28,11,14,15,21,26,34,36,23,27,1,"3億5,542万円",0円
第322回,2019/6/21,01,10,11,21,26,29,30,14,20,2,"3億8,940万円",0円
第321回,2019/6/14,15,24,27,28,29,34,35,09,25,0,該当なし,4億円
第320回,2019/6/7,05,06,18,22,26,33,34,36,37,1,"3億3,315万円",0円
第319回,2019/5/31,02,06,14,23,28,31,35,19,27,1,"3億4,880万円",0円
第318回,2019/5/24,04,05,10,12,27,34,36,03,14,2,"3億7,660万円",0円
第317回,2019/5/17,07,08,14,15,16,20,29,18,19,0,該当なし,3億円
第316回,2019/5/10,03,09,10,17,30,33,34,06,08,1,"3億4,869万円",0円
第315回,2019/5/3,03,11,18,26,30,33,37,28,31,3,"4億1,382万円",0円
第314回,2019/4/26,03,06,08,19,32,34,35,12,30,0,該当なし,8億円
